item_id;vectors
370;-0.022638228|0.055858828|0.073983476|0.053105127|-0.006061517|0.024939163|0.016851038|-0.007947407|-0.16724454|0.11848093|-0.09292093|0.050697085|-0.029799573|-0.04032046|-0.08535296|-0.009760082|-0.03135429|0.011357246|-0.07485155|0.0008256408|-0.008586982|0.18289983|-0.06681907|-0.06953903|-0.0025034053|0.10209452|-0.003057028|0.016804298|-0.034825683|-0.094797574|-0.051066775|0.032952346|0.10688539|-0.0689599|-0.08288858|0.07148967|-0.05715834|0.16438779|0.03017712|0.010292633|0.0054269354|-0.15919685|0.06254727|-0.0005006922|-0.032380797|-0.13680653|0.19223283|-0.14959103|-0.08252643|0.11472649|0.08459839|0.045849673|0.029504074|0.05437674|-0.010637519|-0.04624034|0.168231|0.03188355|0.12145244|0.033791438|-0.084272616|0.028056324|0.017620835|-0.069035016|0.028491618|-0.03763365|-0.040256694|0.12210599|0.008903851|0.025404181|-0.050925653|0.056250427|-0.027329894|0.13939586|0.0658126|-0.12455271|-0.033264767|0.13245854|-0.0027792314|-0.05400324|-0.15383975|0.018684167|0.18817341|-0.11308183|-0.019949015|0.034603026|-0.0928708|-0.07589816|0.033303607|-0.077734776|0.06791621|-0.0313726|0.13729617|-0.116725974|0.026268756|0.1722299|-0.023755418|0.029608384|0.0490511|-0.070039116
371;0.029456956|-0.16099787|0.13074838|0.09992402|0.010050329|-0.03525914|-0.030862236|0.1737961|-0.036578435|-0.106390476|0.20424816|-0.032890342|-0.07334212|0.086447746|0.094306625|0.07239764|-0.18081945|-0.019051777|0.020469064|-0.10126281|-0.14406328|0.10837758|0.14497913|0.032305177|0.03713034|0.20060892|-0.009142582|-0.14562601|-0.095141105|-0.060708996|0.077632375|-0.080166675|-0.021672191|0.01198378|0.016122555|-0.02604622|0.04847558|-0.040490024|-0.03153577|0.06592958|-0.18572676|-0.0343914|0.06123258|-0.017617527|0.1958141|-0.08165902|-0.050647374|0.1100819|0.11592554|-0.084587306|0.09578295|-0.02324031|-0.03175206|-0.11207737|0.008072069|0.11699185|-0.07253869|0.0094538275|0.17825063|-0.010497142|-0.00023682913|0.13069297|-0.09331539|0.012354157|-0.016834995|0.08384529|-0.17280628|-0.00971174|-0.09168635|0.001734128|-0.037338607|0.08668205|-0.021924043|0.10813128|-0.032669045|-0.12804477|-0.15599209|0.010607041|-0.124210864|-0.044281173|-0.030676324|0.024437008|-0.15423626|0.12507515|0.00653516|0.025070397|0.006377003|0.08762721|0.04270649|-0.1013647|0.0026842724|-0.13086593|-0.1346889|-0.104671|-0.09082543|-0.027406594|0.024467913|-0.15979837|0.060130615|-0.047908574
372;-0.051964536|-0.01798895|0.07128517|-0.071065426|0.17134362|0.06871378|-0.10525631|-0.011979629|-0.021756971|-0.03709584|0.14436036|0.03376038|0.04039934|-0.05573075|-0.04297931|0.038448103|-0.063970014|-0.11586993|-0.012444714|-0.04627152|-0.026913581|-0.041441258|-0.013958583|-0.120575726|0.022521103|0.008000076|-0.0001218525|0.04146394|0.016939811|0.07667438|-0.061833646|-0.0041094995|-0.0036719732|0.0020140111|0.033408184|-0.0020284979|0.17006458|-0.032691278|0.034934886|0.03122908|-0.08669662|0.06719105|-0.014772214|-0.044776917|0.06756027|-0.004704686|-0.101995274|0.03264809|0.08436937|-0.062457293|0.09541138|-0.03264643|0.0043929056|0.018299289|-0.04801354|-0.01586154|-0.053070445|0.019690886|-0.016788565|-0.04133151|-0.018683583|-0.029242534|0.06160364|0.011207613|-0.065116815|-0.03772523|-0.02894954|-0.13282086|-0.0017231021|-0.09076435|-0.029140865|0.009736475|-0.03409387|0.0060322485|0.014078881|0.015112857|0.014802483|-0.051461585|-0.043799832|0.013701766|0.06480472|0.02411637|0.019176617|0.000342802|-0.0006346056|-0.08561925|0.034455862|-0.09206278|0.11254152|-0.007194735|0.0069747088|0.0289029|-0.11919014|0.0154968435|-0.050076768|-0.019656565|-0.05668714|0.042188674|-0.023593009|-0.0049983975
373;-0.05055454|0.14745975|0.028121488|-0.03283187|0.11243223|0.04947596|0.07255697|0.1830653|-0.07872013|-0.008973921|-0.019261269|-0.06392938|0.039838456|-0.011667793|-0.12523289|-0.06632185|0.044198748|0.12774622|-0.01399806|-0.0077248677|0.031042643|-0.041013774|-0.021155573|0.091046825|-0.017681275|-0.017149348|-0.10970598|-0.062563226|0.06570001|-0.10143349|-0.10187383|0.041469652|0.021872919|-0.06762809|0.053698678|-0.0766009|0.06828179|0.030291475|0.04451775|0.041070733|-0.036127467|0.1199485|0.020772392|-0.063171715|0.031544827|0.05567203|-0.021099262|0.03881025|0.0044274987|0.014359335|0.077392966|-0.099987224|-0.08484709|-0.09738064|0.0324368|0.009760169|-0.027085042|0.029547678|-0.10827109|-0.038935546|-0.09675321|0.15936889|0.1699328|-0.021049272|0.00447228|0.044152927|0.10370256|0.007263325|-0.08655133|-0.075894415|0.04642972|-0.01676952|-0.07125564|0.023743348|0.14737873|-0.048916344|0.02803368|0.11668056|-0.01091742|0.020175712|0.01685985|0.12584187|-0.05881248|-0.19229338|0.026362976|0.09900807|0.006357168|0.06481996|0.0066017546|-0.06810034|-0.02159479|0.033861008|0.06327158|-0.007871174|0.024543379|-0.075267635|-0.0032531617|-0.06267196|0.05031395|0.04166869
374;-0.015517553|-0.094336644|-0.10478755|-0.01631272|0.015876368|0.094948865|-0.027708823|-0.1255613|-0.038880352|-0.06583007|0.0981286|-0.0866632|0.043942958|0.00943632|-0.14934388|0.07763582|0.04959539|-0.010405382|-0.045818396|0.06291231|0.027356556|0.017978556|-0.1175223|-0.04583841|-0.042663295|0.120089814|0.009127599|-0.13485447|-0.10142361|0.039085794|0.00082185946|0.12769607|-0.0175848|0.059253603|-0.040124074|-0.05568858|0.0072925286|-0.030410722|-0.13746852|-0.092101276|-0.056812976|-0.006636242|-0.0030242736|0.037150275|0.0077075963|0.069133036|0.09707028|-0.15223712|0.23864442|0.075651884|0.06891046|0.019041857|-0.021020198|0.011514029|-0.029465696|-0.049476057|-0.122945905|-0.083986074|-0.024408735|0.23562597|-0.005440419|-0.051849976|-0.0716896|0.054765277|-0.042830665|0.0638814|0.0704867|-0.1530515|-0.06396819|-0.094392724|-0.040819425|0.16251466|-0.062423624|-0.09375088|0.060665205|-0.08757323|-0.0019473342|0.024565913|0.04015474|0.12082645|-0.032738313|-0.049257923|0.11679187|-0.04389682|-0.11608828|-0.09636076|-0.10140395|-0.007787506|-0.048725333|-0.08398257|0.10448612|0.038944047|-0.1900926|-0.010659114|-0.13995667|-0.11559395|-0.0017471603|-0.05654468|-0.14935097|-0.0759347
375;0.008488027|0.033074215|-0.15584494|0.14649354|0.09351545|0.08993662|0.023930082|0.03521202|0.017494837|-0.0020325733|-0.004222675|-0.042809095|0.075783975|-0.05209599|-0.05710365|0.005538696|-0.07966321|-0.060652673|0.045321394|0.016149838|0.040930998|0.06892829|-0.0074317055|0.0444874|-0.018028466|0.1648268|-0.052866887|0.044512138|0.106693916|0.036425803|0.1096936|-0.09763579|-0.025265018|0.13373023|0.09392875|0.057703458|-0.005881267|-0.0045080986|-0.0055463715|-0.008140988|-0.061533585|-0.029916925|-0.03356766|0.040506735|-0.013423867|-0.02471743|0.064064145|0.019214233|0.07787267|-0.017591458|-0.06714308|-0.036949553|0.01759642|0.14107029|-0.00072401535|-0.01587657|-0.030212559|-0.03484828|0.039059017|-0.023885597|-0.024106497|-0.058409512|-0.11369338|-0.060572047|-0.0027508673|0.0500439|0.08074817|-0.058792524|0.11015116|-0.10998774|0.042893022|0.060131043|0.08184838|0.004394532|-0.047645457|0.0632757|0.044866078|0.025459632|0.07548946|-0.07569037|0.026603559|0.06356286|0.054988805|0.08302905|0.118745685|-0.057859335|-0.07993476|0.03174435|0.022408392|0.123103105|-0.0002982833|0.10207394|0.008208198|-0.119597316|-0.13332273|0.016832141|-0.043919675|0.054117095|-0.045704804|-0.098166
376;-0.07707189|-0.076478995|-0.0099318465|-0.020179233|0.027707163|0.10113046|-0.0508542|0.10546844|-0.121602185|-0.10003507|0.017810745|0.005971574|-0.07392524|0.01754448|0.029017165|-0.053957295|0.012968576|-0.08574441|-0.023110038|-0.047751673|-0.10703536|0.03631278|0.012884385|0.056479782|0.0037589031|0.036172118|0.07242572|0.0717264|0.002298338|0.062574856|-0.025524253|0.050256748|0.012385613|-0.056351937|0.041103844|0.07037802|-0.065072134|-0.0073390394|0.08357839|0.04558605|-0.085617185|0.07765867|0.0063575986|-0.015081933|-0.0057424544|0.00945046|0.05470386|-0.036073547|-0.07166869|-0.026470793|-0.059764832|0.07369161|-0.011800035|-0.03821232|-0.095156066|-0.12919639|-0.032436848|-0.03197762|-7.4811454e-05|-0.054530036|0.051243123|-0.0004774947|-0.12391253|-0.07108133|0.014237118|-0.047722656|-0.07658717|0.030431539|-0.00017606062|0.011552542|-0.100530565|0.0120142335|-0.105946995|-0.050309747|-0.024073679|-0.024840191|-0.010193106|0.06379438|-0.013807642|0.0376148|0.00010663201|0.013729203|-0.06935693|0.07009144|0.00389609|0.04777247|-0.07571832|-0.049007148|0.049436666|0.022195417|-0.07500387|0.01991678|-0.03790668|-0.062415935|0.006464926|-0.13188058|-0.012656578|-0.0341344|0.084416844|-0.017971434
377;0.008455174|0.03969324|0.0282277|-0.03593319|0.083976835|-0.051032744|-0.038909588|-0.067169525|0.0978024|-0.08401721|0.10008536|-0.048515666|0.026094925|-0.049849927|0.1259941|-0.0597751|0.15474948|0.0017618522|-0.0755475|0.13589361|-0.08600948|0.0056624|-0.11148593|-0.020454373|-8.873131e-05|0.14474656|-0.049667142|0.06075805|0.059709117|0.09918471|0.011353183|-0.012673973|-0.07158786|0.032045733|-0.15544286|0.1308896|-0.03310944|0.033447918|0.011633816|0.059282456|-0.10043884|-0.121119194|-0.05378657|-0.01148561|-0.09780587|-0.08635967|0.03267346|0.087153874|-0.13924214|0.096946485|-0.019201515|-0.083149344|0.06965801|0.011458252|0.059673775|0.051745474|-0.0104687065|-0.044546522|-0.001982456|-0.069809236|0.02583769|-0.05093438|0.014014629|0.05695842|-0.06890892|-0.009345429|-0.110071905|-0.1471651|-0.046614747|-0.012156525|-0.17064041|0.033342216|0.014421832|-0.05197044|-0.0074425843|-0.08364183|-0.012728803|-0.036766455|0.12730394|-0.030238042|0.14558116|0.045630235|-0.057253096|0.122811444|-0.09711477|-0.043025695|-0.08093278|-0.091235414|0.015203323|-0.09878514|0.019896487|0.02990459|-0.055020712|-0.045151044|-0.042374916|0.040764906|-0.07896469|-0.04638785|-0.005083963|0.04031297
378;-0.08450763|-0.02139095|-0.03352559|0.004312427|-0.007167129|0.009415648|0.059610166|-0.059266273|0.029491572|0.023607729|-0.012200762|-0.06507705|0.03134433|0.010642417|-0.06931003|-0.04832943|-0.027672278|0.0062237526|-0.044145875|0.02216867|0.035029422|0.06620188|-0.05354301|0.00871531|-0.007732413|-0.050400436|-0.024366971|-0.075149916|-0.028327161|-0.04500459|-0.0525816|-0.03826974|0.064443745|0.03981821|0.037490007|0.040727932|-0.046789646|0.0042831427|-0.07248032|-0.06203718|0.024861813|-0.034659486|0.010260282|-0.01893462|-0.013131919|0.007948237|-0.035934012|0.011252742|-0.1186689|-0.024390148|-0.026903763|-0.024590768|0.07511707|-0.01771399|-0.017008422|-0.072718516|0.13191175|-0.06864672|0.011285802|-0.10302961|0.023970071|0.10588346|-0.04784152|0.0029633944|0.08591849|0.029866712|0.029154543|-0.013425752|-0.024990642|-0.10149479|-0.06441593|0.05134862|-0.00061306485|-0.07035504|0.052031517|-0.010866832|-0.16411577|-0.02653128|0.008677301|-0.076076314|0.026854007|0.048335128|0.042728096|-0.073736705|0.011905067|0.08583229|0.033641726|-0.08182386|-0.08458517|0.08352354|-0.098398544|0.0148694|0.05778338|0.072860904|-0.018386347|-0.010815504|-0.0070234817|0.010416279|0.08056488|-0.07693087
379;-0.024626657|-0.055933144|-0.1979275|0.015107352|-0.062285025|0.05581019|-0.046945382|0.0034880596|-0.09690788|0.054694917|-0.0064183106|-0.054058906|-0.04108898|0.14559852|0.035488274|0.09270403|0.06318425|-0.058537018|-0.060074534|0.1826124|-0.06643972|0.050362658|-0.1856557|-0.06779749|0.029761124|-0.08310069|0.045380596|0.09029707|0.06813233|0.01494481|0.073062636|-0.14935371|0.21065858|0.076489426|-0.048975185|0.0133568365|-0.04070624|0.07722958|-0.13457653|0.06853282|-0.052766826|-0.028501607|-0.060671594|0.14941227|0.10404599|-0.025858354|-0.0026649716|-0.074089475|-0.11575669|0.064640716|-0.056503512|-0.14685622|0.07475985|0.14702435|0.07477961|-0.051642783|-0.039665762|-0.05653238|-0.056941684|-0.104667686|0.05309375|0.10825593|-0.05882071|0.042239998|0.10947364|0.1277794|-0.013961442|0.07264747|0.008811565|-0.1468149|-0.10765006|0.038839888|0.142889|-0.107003815|0.008226278|0.02296438|-0.0072095823|0.0028749458|-0.043824166|-0.058365975|0.038124803|0.048635863|-0.046815816|-0.0117556825|-0.027069982|-0.15585361|-0.032513443|-0.115935214|-0.1466575|0.025184605|-0.1066848|0.15299687|-0.05985517|0.057384063|0.03544228|-0.012411798|0.021485992|-0.020337418|0.07935987|0.0012886644
380;0.2733497|0.06247035|-0.055492017|-0.033199605|-0.04556043|0.02920199|-0.04249515|0.02472345|-0.081874855|-0.055042572|0.13674729|-0.01165562|0.063399285|0.0023221674|0.022488344|-0.013868095|0.0013621998|-0.07341743|0.08253431|0.08768197|0.096895486|0.05206657|-0.10082468|0.10770275|-0.18029775|-0.110921|-0.10607306|0.025185945|0.064063326|0.2040448|0.019491296|-0.028049251|0.022319136|-0.1741873|-0.12700929|-0.019583719|0.08421675|-0.026180085|0.08491549|-0.16305776|0.0938255|0.1538847|-0.011078248|0.13254339|0.15364438|0.015880352|0.0856443|0.016837157|0.21524586|0.087697774|0.08683537|-0.17418827|-0.0016140771|-0.08122104|-0.08903373|-0.14279208|-0.14185715|0.06857878|0.14524068|0.17895311|0.12872286|0.06343539|-0.047378372|-0.09637844|-0.09587063|0.017941467|-0.0020307899|0.075631164|0.05203665|-0.17000076|-0.08719014|0.0930022|-0.12252676|0.07079474|0.062236745|-0.112857744|0.012721327|-0.06676764|0.072479114|0.094793364|-0.014848909|0.2600484|-0.12003474|0.010386987|-0.16108242|-0.020200485|-0.14439172|-0.0053214|0.059201937|-0.038701937|0.08559768|0.050696418|0.16316223|-0.17143516|0.025673699|0.024673017|-0.12452365|0.01600925|-0.020997018|0.023011472
381;0.17622755|0.011035694|-0.04849518|-0.066491455|-0.05052435|-0.029999724|0.067503855|0.0997322|0.097332776|0.10748466|0.17926663|-0.119786344|0.11680272|-0.0088831065|0.021047056|0.1927189|0.060961813|0.20287797|-0.055945903|0.06952147|-0.08647567|-0.14323914|0.111509725|0.12688044|0.015500939|0.1446195|-0.14553113|-0.08185292|0.020739822|0.123554885|0.10965574|0.13698985|-0.096252285|-0.10730616|-0.17287801|-0.058701746|0.09400812|-0.095366724|-0.19079918|0.18037102|0.077145465|-0.08083097|0.075147375|0.18831366|0.066196635|-0.044837322|-0.08155708|-0.17365316|0.1307623|-0.0019196102|0.076209836|0.030320747|0.012514554|-0.01625428|0.07774789|0.01874323|-0.09959719|-0.14184295|0.11246738|0.043300487|0.08850578|-0.02773133|-0.0779525|-0.19007003|-0.010101509|0.10071021|0.019308303|-0.19990915|-0.025653755|-0.02360434|-0.0083382595|-0.1807794|-0.09371211|-0.05212835|-0.018940134|0.0043203365|-0.06578343|-0.07749584|-0.040639345|-0.05660405|0.06659557|0.1192692|0.025322065|-0.01689508|-0.05489204|0.021332692|-0.072231814|0.05719989|0.16006532|0.1095265|-0.0366758|-0.01589918|-0.16946925|0.11082287|-0.14289024|0.105582416|0.043550488|0.114158034|0.28636375|-0.08610262
382;0.0069795703|0.08073748|0.1514523|0.101630606|-0.006245781|-0.051121987|-0.072357185|0.07634792|0.0499709|0.023753816|0.12192365|0.06833062|0.1276708|-0.0058984687|-0.1736194|0.016760936|0.06441265|-0.003260519|0.0053829304|-0.06401186|0.0021211333|0.0026908072|-0.0036264793|0.057187732|0.025652457|0.07330983|-0.0010056901|-0.108751774|0.035048887|-0.05131767|0.046322517|0.037097692|0.007106358|-0.06862691|0.10492743|-0.07907418|0.010640354|-0.028496783|-0.022148188|-0.021756265|-0.0539943|-0.026534654|0.040799983|-0.0017411514|0.13065332|-0.20103376|0.06767784|0.003498177|0.063123524|0.07732326|0.0063560507|-0.058039494|-0.0019082065|0.11022451|-0.036438935|-0.096420474|0.04916985|-0.008641496|0.028037952|-0.05767471|0.047954183|0.08126692|0.048390586|-0.16533823|0.13609768|0.11243916|-0.060825206|0.02369012|-0.028258102|0.02539039|0.13749138|0.06683072|0.017745268|0.016611468|0.118308395|-0.0009089851|-0.0168203|-0.0124257|-0.009104295|0.008252659|0.052883886|0.0010506777|-0.023067275|-0.13273306|-0.09497948|0.07001231|0.037920725|0.022530988|0.0023273025|0.1298387|0.1140579|0.0043779057|0.0059713814|-0.043757968|0.055030417|0.11622466|-0.040743623|-0.0050151604|-0.0060281516|0.038424976
383;0.02134368|0.004903423|-0.030704327|5.448129e-05|-0.04382102|0.01339396|-0.011616122|0.0016002094|0.087588854|-0.006874573|0.015276338|0.01778724|0.035643395|-0.013343186|0.058880344|0.054818567|0.031936258|0.06945052|0.02811393|0.068339795|-0.041710436|0.012769961|0.00401443|0.058049306|-0.042074498|-0.017225444|-0.008556043|-0.08512415|-0.004044738|0.0028545232|0.01183587|-0.037874643|0.014473248|-0.008549393|0.07919016|0.033702713|-0.084801205|-0.035506435|-0.052802987|0.11381937|-0.014167588|0.039992027|-0.07440617|-0.018108884|0.023935264|-0.009090005|0.015606831|-0.053468857|-0.048096154|-0.03284702|-0.08756804|-0.022914473|-0.054113|-0.033766083|0.026696062|-0.012046663|0.045769896|0.038697347|-0.04641243|-0.092690885|-0.02430382|0.014566494|0.039961495|0.023236122|-0.046748184|0.03674508|0.08277779|0.008395117|-0.0049381014|-0.029862532|-0.045638055|0.12663114|-0.003864564|0.049125534|-0.04906227|-0.024573114|0.016773641|0.09334884|0.051223014|-0.044693407|0.061674513|-0.14034583|-0.05848222|-0.017605698|0.054680355|0.030180594|0.00024342636|-0.0588197|-0.03408048|0.090088874|0.088831134|-0.013637621|0.0877722|-0.02910251|0.0053889896|-0.18668808|0.13094898|0.008853229|0.05286163|-0.032768536
384;-0.13079141|0.1697772|0.06311607|0.16799808|0.051852785|0.040660936|0.01471529|-0.011816911|0.032658033|0.01866895|-0.161434|0.054028574|0.03802729|0.033317972|-0.025100779|-0.032083772|0.062073566|-0.14517398|0.17967905|-0.010006244|-0.0022592072|-0.04300767|-0.041369967|0.05522346|-0.006906345|-0.12210986|0.18266152|0.042558372|-0.03354719|-0.05657172|-0.10637193|0.06756507|0.024314528|-0.028970532|0.03345193|-0.1243716|0.09772941|0.019863352|0.009477586|-0.03555389|-0.11723217|0.008154303|0.09160276|0.0039056626|0.048681963|0.12509026|-0.008943422|-0.019338483|-0.08906353|-0.06663566|-0.0033061295|0.12227714|0.008086918|-0.12574126|-0.09278526|-0.027582264|0.13579766|-0.11266626|-0.14127214|-0.0054524075|0.06846659|-0.11164398|0.014001629|0.026470928|-0.0064627086|0.031994846|0.037328444|0.13018607|0.11364399|0.025107754|-0.052260175|0.0115735885|0.09138513|-0.017824568|0.19407555|0.032745626|-0.012015137|0.046889808|-0.019849034|0.13465269|-0.066755734|-0.086909294|-0.011433805|0.00366588|0.07027508|-0.04574589|-0.045519575|0.004838071|0.013587675|0.006312526|-0.04341885|0.03820546|0.041837055|-0.06022795|-0.2293982|0.117931865|-0.13431676|-0.039904397|-0.08318357|0.051154844
385;-0.015356818|0.04528642|0.08191942|-0.026727332|-0.03899014|0.007145461|0.0006539949|0.09104541|-0.06554007|-0.042868793|0.01986406|0.062313452|-0.058810584|-0.04268325|-0.0018370582|0.008893609|0.036776494|0.102659374|0.010797317|-0.16709846|-0.04203824|-0.014801708|0.014383022|-0.051641617|-0.0019459235|-0.08592756|-0.04987123|0.0077352324|0.055672083|-0.05031785|0.10501757|-0.076606|-0.10083601|0.048328083|0.10650313|0.016057812|-0.0040657753|0.042829625|0.041292865|0.07617932|0.01845671|0.18817408|0.060500808|-0.028639678|-0.050567683|0.036897343|0.10480804|0.03318019|0.088388525|-0.009819199|0.009764246|0.0135919815|-0.10043845|-0.030743742|-0.07474409|0.034532186|0.021419628|-0.06027044|0.021411898|0.065239124|0.023682218|-0.027804324|0.027635308|0.048907943|-0.043363843|-0.057900034|-0.01616146|-0.0131227635|-0.07428271|0.058316324|-0.015543137|0.010223163|-0.035806037|0.07711199|0.002377811|0.026721356|0.014629105|0.074026525|0.053888123|0.16082953|-0.054618474|-0.017247126|-0.06512424|-0.024995212|-0.003884175|-0.023658825|0.027381042|0.028379135|-0.01674474|0.048610177|-0.10817012|-0.02231624|0.0076253084|-0.03905767|0.08506948|-0.15199848|0.042344224|0.08740758|-0.115437835|0.06445262
386;0.026337445|-0.020810237|0.04980604|-0.042055264|0.003793646|-0.08571498|0.08832709|0.07581082|0.041519757|0.046561502|-0.016541881|-0.038824603|-0.07537812|0.034682482|0.0028814122|0.026050374|0.08086086|-0.056158815|-0.0032727232|-0.06546316|-0.0459544|-0.041666944|-0.042764034|0.022941886|-0.1326828|0.01280172|-0.0024654819|0.13552742|-0.07596204|-0.08457357|0.036615018|0.0031180321|0.03773194|0.054364506|0.023451418|-0.054107435|-0.007649581|0.010853681|-0.022735823|-0.041676752|-0.013771622|-0.0037494462|0.079568|-0.098238856|0.07262342|-0.07656204|0.07477679|-0.109360054|-0.022691881|-0.0074883658|0.100227065|0.04329747|0.0029315231|-0.020546503|0.015904928|-0.07322617|0.00715739|-0.051987294|0.102602914|0.021550765|0.11257851|-0.047447223|-0.08184343|-0.018830065|-0.042629767|0.040376503|0.008763034|-0.1034127|0.09280323|0.027129577|0.0047430843|-0.14253856|0.07697864|0.11518348|0.0381389|-0.02656049|0.027898572|0.009519821|0.023157893|0.051699556|0.016925944|-0.038214535|-0.08164172|0.044725694|0.03945513|-0.0132972635|-0.05759112|0.16020161|0.032382347|-0.008875683|-0.08011601|0.08776547|-0.052154694|-0.11192993|-0.140027|-0.051838085|0.06800609|-0.09644373|0.019976484|-0.1151309
387;-0.1180838|-0.038680635|0.042411815|-0.024467187|0.0242912|-0.03755175|0.06561001|-0.17308837|0.06940783|-0.008050599|-0.03981473|0.015299385|0.090311706|-0.016725307|0.058942124|0.004834538|-0.04209952|0.04395205|0.11015439|0.02052578|-0.003889981|0.07616365|-0.03621779|0.02047129|-0.022709167|0.08207237|0.058553286|0.04785323|0.016617717|0.075115256|0.039673716|0.07278474|-0.008388899|-0.0064811143|-0.081814565|-0.016327335|0.014744897|0.020053191|-0.005005475|0.01819517|0.14687161|-0.075900234|-0.030246753|0.024034198|-0.099247254|-0.004202349|0.019901115|-0.04990818|0.0710956|0.02609721|-0.06353682|0.004786801|0.05168573|-0.02604485|0.059307456|0.038257614|-0.05734167|-0.014269453|0.0035224536|0.1017144|0.015783018|0.0033479459|-0.059201546|-0.116091974|-0.04954203|-0.12660052|-0.06100841|-0.10847328|-0.0009698431|-0.021616897|-0.041785955|0.05348308|0.013860313|0.078095116|-0.028149046|-0.03776124|0.08452422|0.031263877|0.05281425|-0.0031488019|0.11054909|-0.15403213|-0.03559719|0.036869965|-0.021550832|-0.016292429|-0.09393899|-0.06294417|0.09584968|-0.0037442562|0.049165804|0.047299463|-0.081666596|-0.02949427|-0.020372307|0.016119745|-0.037243254|0.031603187|-0.008656146|0.059723917
388;0.0030118558|-0.035696607|0.16673775|0.04844906|0.07689596|-0.055301934|0.10204066|-0.009824497|-0.0033601944|-0.03465289|0.11403964|0.044506893|0.035725754|-0.19563653|-0.094402775|-0.02309018|-0.07870249|-0.018074654|0.048653062|-0.060501684|-0.009955793|-0.06124093|0.058282167|0.03639761|0.14651872|-0.02449412|0.010865928|-0.00062406866|-0.037208498|0.0534349|-0.05014612|0.026592836|-0.019558804|0.006026455|-0.07224426|-0.07669835|-0.03455492|0.016400773|-0.0019179836|0.055783287|-0.016181407|0.06326163|-0.050806172|0.06410787|0.097312786|0.08229631|-0.054524455|0.13105457|-0.103546634|0.071513906|0.07634068|0.14759606|0.015753958|-0.034049284|-0.06251395|0.045066833|0.023539556|0.011375311|-0.030152038|0.0060615405|-0.0032610418|-0.04188211|0.077225454|-0.024386173|-0.11192216|-0.06369189|-0.04538155|0.045750227|-0.032459076|0.08552249|-0.0953381|0.022713806|0.032196973|0.038751166|-0.062392153|0.02688783|-0.07081501|-0.15729074|-0.020464305|0.051041197|-0.037265185|0.051744826|-0.07865982|-0.045599803|0.053351704|0.041043255|0.038734365|-0.12389801|-0.07633026|0.022751978|0.13578765|0.06848256|0.038528495|0.13388713|-0.05243425|-0.17911343|-0.01625317|0.12020233|0.09794454|0.08085619
389;-0.08518397|0.019679181|0.15509899|0.037019398|0.14294828|0.0040542437|0.0012108259|-0.0430646|-0.037491176|-0.05357863|0.13687891|0.11693214|0.014831399|-0.045524746|-0.06955304|0.049540933|-0.011144109|0.0359692|-0.052679554|0.037557397|0.014217474|0.044814933|-0.083696745|-0.012257433|0.008638819|0.06987255|0.058154155|-0.011413383|-0.02365671|-0.023986027|-0.0012223825|0.07831116|-0.022279108|-0.09856777|-0.0142233055|0.010536174|-0.054737646|0.07866425|0.017982276|-0.0477182|0.08466433|-0.13176367|-0.034517884|0.047708623|0.029993013|0.025888002|-0.10443556|0.14672004|-0.110576995|-0.08424895|0.018675096|-0.06831198|0.06767247|-0.04630381|-0.00066314905|-0.020038249|0.07485086|0.005733924|-0.18601333|-0.09767202|-0.18031922|0.078496404|0.027944421|0.043154612|-0.027580127|-0.09755095|0.14880422|0.1254249|-0.03671642|-0.013949475|-0.04677832|0.041050933|0.033781525|-0.0204354|0.00027701433|-0.15691686|0.049252164|-0.07880829|-0.09328079|-0.0036291555|-0.06649833|-0.11723464|0.10543029|0.15839478|-0.009821833|0.055206433|-0.08451591|-0.05270081|0.13013367|-0.018752348|0.1255956|0.03384699|-0.061321642|0.15390837|-0.027564066|0.09658272|0.002759029|0.03190198|-0.02637434|0.043688364
390;0.034400437|-0.0696771|0.15605067|0.045733493|0.077208824|-0.0010911089|0.066435285|0.00076892856|0.08665783|-0.06834365|0.0979664|0.00547303|-0.18789873|-0.006996731|0.065624334|-0.046386905|-0.027044188|-0.09058679|-0.0428504|0.034739617|0.012361463|0.03783909|-0.023722524|-0.0066889864|-0.028435512|0.0752922|0.04036744|0.03576695|-0.06172547|0.117081836|-0.07141725|0.08980628|-0.016709391|-0.07641671|-0.038676754|-0.013960829|-0.044994317|0.089071676|0.006196636|-0.025705835|0.008795633|-0.057106286|-0.031197755|0.073454626|0.09584343|0.022027783|0.015256826|0.13967629|0.045379974|-0.040936735|0.06799116|0.0147631345|-0.026238767|0.0008215529|-0.043482717|0.008597837|-0.042445365|-0.04126078|0.00024631628|0.064423114|-0.059948064|0.028145684|-0.01635429|0.010305997|0.007728635|-0.0027387654|0.014023449|-0.08827621|-0.041157275|-0.1408585|-0.1014889|0.03515335|-0.009740826|0.03428769|-0.083247796|-0.047728956|-0.084721014|-0.046196863|0.03564346|0.045472268|-0.02616722|-0.027559012|-0.02122883|0.07062402|0.073631726|-0.075303756|-0.035767626|-0.051180515|0.061373603|0.06268365|-0.004075237|-0.068248644|-0.02171254|0.027831728|0.078174464|0.06384935|0.10076339|0.06691865|-0.071280695|0.010066414
